"OPTICSClusteringWrapper(metric=euclidean, algorithm=auto, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=euclidean, algorithm=brute, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=euclidean, algorithm=ball_tree, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=euclidean, algorithm=kd_tree, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=manhattan, algorithm=auto, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=manhattan, algorithm=brute, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=manhattan, algorithm=ball_tree, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=manhattan, algorithm=kd_tree, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=chebyshev, algorithm=auto, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=chebyshev, algorithm=brute, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=chebyshev, algorithm=ball_tree, xi=0.05, min_cluster_size=0.05, min_samples=5)_0","OPTICSClusteringWrapper(metric=chebyshev, algorithm=kd_tree, xi=0.05, min_cluster_size=0.05, min_samples=5)_0"
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
